batch:10  lambda:100.0
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
0,0.278386,27.1756,17.4209,11.4379,11.0694
1,0.146225,13.0278,13.5155,12.6171,9.89489
2,0.0498679,11.7681,12.2151,10.6706,11.9951
3,0.0345804,11.9041,10.4122,10.9718,10.4682
4,0.202389,11.5618,13.4807,11.3884,11.7767
5,0.0602586,11.0388,12.5313,11.4233,11.4459
6,0.0248984,10.3823,10.3483,11.1347,11.0559
7,0.0458225,12.8001,10.9387,10.7661,10.5413
8,0.046391,10.286,11.3346,11.4953,10.299
9,0.0529366,10.5697,10.528,11.017,11.0803
10,0.0146648,10.7255,9.67106,11.2758,10.7048
11,0.0271112,10.4297,10.313,10.8312,10.6663
12,0.0356489,9.88948,9.85025,10.7623,11.1101
13,0.0200771,9.76457,10.0788,9.98326,10.9109
14,0.0166672,9.31267,9.67629,10.6045,10.0337
15,0.0124158,9.30327,10.4668,11.2565,9.88854
16,0.0230003,7.89162,10.9274,10.6973,9.88548
17,0.0136292,9.44651,8.10479,10.239,10.2169
18,0.0132758,10.4974,9.82191,9.47969,8.84269
19,0.00733036,9.76264,10.9694,9.30188,10.2714
20,0.0192426,9.56148,10.3356,10.3881,9.29903
21,0.0069968,10.1478,8.76877,10.3872,10.1469
22,0.0126006,9.61474,9.37825,9.21867,10.502
23,0.00576764,8.79617,9.16183,10.0253,8.62768
24,0.00938561,8.96868,8.7345,10.4751,8.84385
25,0.00620863,8.94103,9.6093,9.15582,9.74699
26,0.0157722,8.5121,9.45821,10.2571,9.96409
27,0.0247755,9.52391,9.35249,9.41041,9.34381
28,0.0191004,8.92581,8.07149,10.8166,8.89226
29,0.00877793,8.67902,9.60642,8.63227,9.07819
30,0.00806768,10.0146,7.63446,9.57718,8.6259
31,0.0113168,9.06567,8.52058,9.21555,9.23375
32,0.0127492,8.07614,8.49941,8.92758,9.39719
33,0.0119285,7.83192,8.78168,9.28973,9.24263
34,0.0209793,8.2893,9.17384,8.79969,9.91956
35,0.00679419,8.37044,8.19351,9.7451,8.53135
36,0.0062374,7.36525,7.36695,9.38117,9.15636
37,0.0104332,7.73882,7.33619,8.65875,8.66472
38,0.00714457,8.8138,7.47288,8.85432,8.65997
39,0.00973844,7.88067,7.69962,7.93596,9.04596
40,0.00777406,8.78639,7.75118,8.76997,8.80422
41,0.0111885,6.68665,7.77926,8.08446,8.02538
42,0.00759235,7.69791,8.11714,8.16578,7.80729
43,0.0128128,8.2142,7.45202,8.0347,8.41755
44,0.00925127,7.54027,8.43176,8.96368,8.15017
45,0.00685884,8.02283,7.08018,8.63091,8.29287
46,0.0102236,7.93853,7.71041,8.09557,8.04669
47,0.0115644,7.659,8.40247,8.74688,9.36032
48,0.00635006,6.88687,7.76799,7.54852,8.28976
49,0.00712709,6.52993,8.26362,8.69241,7.88044
50,0.010518,6.63809,7.90296,7.38423,9.09327
51,0.00552704,6.89081,6.8661,7.34392,7.29521
52,0.0200775,7.55503,7.19224,8.55322,8.23655
53,0.0203402,7.4278,8.17467,7.5568,7.80054
54,0.0108225,7.30882,7.43206,7.26423,7.8459
55,0.010204,7.48666,7.51065,7.76871,7.55355
56,0.00665817,6.89426,7.43405,7.56958,8.3331
57,0.00916553,7.0054,7.08226,6.86039,6.99671
58,0.00958062,7.74251,6.60009,7.97232,7.35619
59,0.00716224,6.51997,6.94522,7.50347,6.96767
60,0.0122712,7.49878,8.02593,6.71949,6.50353
61,0.00797968,7.84212,7.32604,8.11857,7.22449
62,0.00491761,6.78229,6.8313,7.3961,6.7964
63,0.00468137,6.77736,6.82891,6.92907,6.95646
64,0.00668723,5.67084,7.20018,6.56426,6.95456
65,0.00588496,6.76287,6.47496,6.55143,7.43781
66,0.00830996,6.73535,7.85122,7.75161,7.23921
67,0.0157225,6.39911,6.7142,8.86679,7.6015
68,0.00885106,6.98036,6.58748,7.5952,7.3567
69,0.00874939,7.0151,6.48194,7.29294,6.60948
70,0.00782485,6.77135,6.40549,7.83259,6.7876
71,0.00675353,6.52492,7.36876,6.71711,6.54578
72,0.00664166,7.77289,6.13789,6.53873,7.57513
73,0.00803137,5.73579,6.36432,6.46747,6.62737
74,0.004679,6.31646,6.73704,7.35926,6.86993
75,0.00421106,6.18753,6.1578,6.63412,5.99645
76,0.00722445,6.44818,5.923,6.88566,7.22714
77,0.00738059,5.7667,6.01311,6.48981,7.04447
78,0.00479528,6.34309,6.81193,6.28896,6.35456
