batch:10  lambda:100.0
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
0,0.715387,27.4983,18.5758,946.579,1263.29
1,0.282603,9.9277,11.7968,61.1495,80.293
2,0.671536,11.8782,10.393,13.2625,15.8121
3,0.554462,10.2373,11.3113,16.1286,12.5528
4,0.219676,9.80689,9.35124,12.3598,11.775
5,0.731254,8.72247,10.409,14.2397,14.5956
6,1.12519,11.438,11.6726,19.0373,31.9459
7,0.554089,11.0602,10.4615,12.4581,11.4141
8,0.476258,10.2497,10.4512,12.6274,12.2103
9,0.314445,11.3841,11.4025,11.4057,13.215
10,0.686116,9.73664,10.0761,11.0819,12.4461
11,0.855102,10.8201,8.54926,13.9528,13.851
12,1.04152,10.5249,10.4561,11.4382,10.6997
13,1.08977,10.1766,11.4682,11.9584,12.3125
14,0.873654,11.9655,9.66786,12.2241,12.1726
15,0.740623,10.0628,8.78843,14.3386,11.0252
16,1.02759,9.53885,11.2739,12.3838,10.8148
17,1.04888,10.4218,9.84511,12.5041,13.4208
18,1.06712,9.31199,11.0527,13.9266,12.0704
19,1.0628,10.6048,9.57723,11.6859,11.8377
20,1.10302,10.265,8.46353,11.9325,12.1988
21,0.96113,9.6067,9.20952,13.5359,12.4889
22,0.95527,7.98213,10.0292,13.6622,12.0187
23,0.766384,8.59895,9.06727,11.7907,12.7626
24,0.977988,10.0924,9.12273,12.6145,12.596
25,0.931688,7.94671,10.4393,12.2022,13.1703
26,0.743771,10.4348,9.55412,11.4587,12.7044
27,1.09691,10.8416,8.65553,12.1837,12.999
28,0.704781,9.80159,10.1608,11.9778,12.2871
29,0.579848,9.03348,10.4625,13.7945,13.9093
30,0.713967,9.60744,9.18269,12.6285,13.7506
31,0.6861,9.54184,10.9948,11.5245,11.3515
32,1.02156,10.4288,9.74988,12.4513,12.6967
33,1.08564,9.55427,9.69953,11.5594,13.2496
34,1.10662,9.04853,8.74952,11.7476,11.7221
35,0.74204,9.23126,8.35153,13.0487,13.1027
36,0.803735,9.97565,10.2912,11.8746,12.8687
37,1.00078,8.19308,8.71769,11.6885,11.8222
38,0.719672,10.3441,9.63539,13.1642,12.248
39,0.774924,9.92669,9.20097,13.9364,12.0256
40,1.105,10.4466,10.5247,13.4533,12.2548
41,0.477644,8.90185,9.06867,13.8066,12.8141
42,0.739739,10.0908,9.21773,12.264,11.2693
43,0.706508,10.1381,9.08684,12.4171,11.0734
44,0.581103,9.86037,9.92986,12.9949,11.5012
45,0.891343,12.0038,11.0803,11.5739,12.5843
46,0.788881,9.74578,8.60396,15.1405,13.6941
47,0.808843,10.2585,8.41405,12.0656,14.2208
48,0.836098,9.17995,8.36706,12.9622,11.8569
49,0.897666,9.59258,9.65949,12.5897,11.6961
50,1.16607,9.3438,9.19174,10.7432,10.9741
51,0.650106,9.15217,8.65221,13.7894,14.9467
52,0.947574,9.19113,9.99423,12.8557,11.9811
53,0.822357,9.06926,9.33161,10.7855,11.5568
54,1.22184,8.88726,8.47442,11.5316,11.1301
55,0.60843,9.11193,8.14381,12.8836,13.377
56,0.693378,9.22723,8.57549,12.4957,11.9942
57,0.928797,9.11392,10.0396,11.0374,11.3671
58,0.754347,10.1508,9.22821,13.4871,12.7049
59,0.65767,8.66623,8.97228,13.0415,14.093
60,0.795537,8.95449,8.82539,13.39,12.7751
61,0.94244,8.4441,8.50632,11.6859,11.5647
62,0.561028,7.90005,9.54627,13.1451,12.4996
63,0.696384,7.61302,8.99056,13.1523,13.2959
64,0.874835,8.00122,9.13122,13.134,11.7785
65,0.547711,8.21303,7.35232,12.4734,11.2152
66,0.850203,7.97206,7.82162,12.7711,12.9817
